apple;ano;type;Documents;N;mean;median;std;class
Here is an apple;1988;dever;25;81;3,24000000000000;2,0;3,431229128655406;Deveres / Obrigações
Here is an apple;1988;pena;3;4;1,33333333333333;1,0;0,577350269189626;Multas / Penalidades
Here is an apple;1988;prazo;25;47;1,88000000000000;2,0;0,971253485622231;Prazos
Here is an apple;1989;dever;69;297;4,30434782608696;3,0;4,796764681183518;Deveres / Obrigações
Here is an apple;1989;pena;22;44;2,00000000000000;2,0;1,154700538379251;Multas / Penalidades
Here is an apple;1989;prazo;83;265;3,19277108433735;2,0;3,042214498800941;Prazos
Here is an apple;1990;dever;108;435;4,02777777777778;2,0;5,423138956090988;Deveres / Obrigações
Here is an apple;1990;pena;35;87;2,48571428571429;1,0;2,993831192649985;Multas / Penalidades
Here is an apple;1990;prazo;96;285;2,96875000000000;2,0;2,552411140780213;Prazos
Here is an apple;1991;dever;102;445;4,36274509803922;2,0;5,564721294269510;Deveres / Obrigações
Here is an apple;1991;pena;26;64;2,46153846153846;1,0;2,549208021810213;Multas / Penalidades
Here is an apple;1991;prazo;67;252;3,76119402985075;2,0;4,160017308526077;Prazos
Here is an apple;1992;dever;107;487;4,55140186915888;3,0;4,872397505354541;Deveres / Obrigações
Here is an apple;1992;pena;41;126;3,07317073170732;3,0;2,875675954470871;Multas / Penalidades
Here is an apple;1992;prazo;79;384;4,86075949367089;4,0;3,699390723276795;Prazos
Here is an apple;1993;dever;125;780;6,24000000000000;3,0;8,839427802237413;Deveres / Obrigações
Here is an apple;1993;pena;49;230;4,69387755102041;3,0;6,982728936551994;Multas / Penalidades
Here is an apple;1993;prazo;131;649;4,95419847328244;3,0;6,380092349729319;Prazos
Here is an apple;1994;dever;128;803;6,27343750000000;2,5;11,055845956905996;Deveres / Obrigações
Here is an apple;1994;pena;44;154;3,50000000000000;3,0;4,464328903445571;Multas / Penalidades
Here is an apple;1994;prazo;163;620;3,80368098159509;2,0;5,717483362141464;Prazos
Here is an apple;1995;dever;97;488;5,03092783505155;2,0;7,411215611388457;Deveres / Obrigações
Here is an apple;1995;pena;41;116;2,82926829268293;2,0;1,896080681621832;Multas / Penalidades
Here is an apple;1995;prazo;127;414;3,25984251968504;2,0;3,817696052543510;Prazos
Here is an apple;1996;dever;139;836;6,01438848920863;2,0;9,763126141297214;Deveres / Obrigações
Here is an apple;1996;pena;36;121;3,36111111111111;3,0;3,081305639569766;Multas / Penalidades
Here is an apple;1996;prazo;122;456;3,73770491803279;2,0;5,110034333291082;Prazos
Here is an apple;1997;dever;134;758;5,65671641791045;2,0;8,350502643564610;Deveres / Obrigações
Here is an apple;1997;pena;49;147;3,00000000000000;2,0;2,508319490548735;Multas / Penalidades
Here is an apple;1997;prazo;123;471;3,82926829268293;2,0;4,504473763542799;Prazos
Here is an apple;1998;dever;174;1016;5,83908045977012;3,0;9,355995343123084;Deveres / Obrigações
Here is an apple;1998;pena;47;196;4,17021276595745;2,0;5,036040322282932;Multas / Penalidades
Here is an apple;1998;prazo;138;701;5,07971014492754;2,0;9,232647242143097;Prazos
Here is an apple;1999;dever;179;1095;6,11731843575419;2,0;8,557976866626504;Deveres / Obrigações
